iter	RMSE
0	1.95507196
1	1.903041875
2	1.859265511
3	1.811341055
4	1.767299786
5	1.724233528
6	1.683091722
7	1.640045971
8	1.604478021
9	1.56555911
10	1.526864209
11	1.487442512
12	1.450125858
13	1.415467524
14	1.381049477
15	1.34558447
16	1.312021096
17	1.281441482
18	1.249262246
19	1.221682091
20	1.193878476
21	1.165263573
22	1.136390388
23	1.108638993
24	1.081622571
25	1.056098191
26	1.032359703
27	1.010692436
28	0.9855442866
29	0.9616231415
30	0.9385523856
31	0.9157226131
32	0.8939868377
33	0.871764996
34	0.8522313151
35	0.83331919
36	0.8143069083
37	0.7936920268
38	0.7758062778
39	0.7588305372
40	0.7410117831
41	0.7237054285
42	0.7064749965
43	0.6903165824
44	0.6747823993
45	0.6589542662
46	0.6432884324
47	0.6293518821
48	0.6144194778
49	0.6013138723
50	0.5874294766
51	0.5727948781
52	0.5596550815
53	0.5478075614
54	0.5351990523
55	0.5218375315
56	0.5112142257
57	0.5003551955
58	0.4892810885
59	0.4795793181
60	0.4700317111
61	0.4588817948
62	0.4485977449
63	0.438853546
64	0.4296987686
65	0.4201079464
66	0.4111715573
67	0.40265031
68	0.3939455289
69	0.3858891322
70	0.3777453476
71	0.3701882655
72	0.362709758
73	0.3550335647
74	0.3473927393
75	0.3406862412
76	0.3340760188
77	0.3273279233
78	0.3208358778
79	0.315126027
80	0.3082925245
81	0.3026063951
82	0.2965011844
83	0.2907096478
84	0.2853090176
85	0.2801136373
86	0.2748675001
87	0.2696302066
88	0.2643125011
89	0.2596663039
90	0.2542662519
91	0.2496400274
92	0.2450867559
93	0.2410245214
94	0.2370596965
95	0.2327556045
96	0.2284547811
97	0.2246054878
98	0.2204802985
99	0.2167004185
100	0.2132231234
101	0.2099275468
102	0.2067038362
103	0.2031458433
104	0.199607652
105	0.1964453187
106	0.1940957697
107	0.1914475043
108	0.188753592
109	0.1862950517
110	0.1839130298
111	0.1812161597
112	0.1784764857
113	0.175847451
114	0.1733242037
115	0.1708456624
116	0.1684690653
117	0.166289729
118	0.1641950623
119	0.1622835256
120	0.1601611475
121	0.1582483015
122	0.1560008008
123	0.154006456
124	0.1521884615
125	0.1505152641
126	0.1489897074
127	0.1472529646
128	0.1456140942
129	0.1440075629
130	0.1424758713
131	0.1410638284
132	0.1395018443
133	0.1378725877
134	0.1365220426
135	0.1352091233
136	0.1340805736
137	0.1328880986
138	0.1316106702
